pnum,age,gender,practice,phase,timerPhase,tnum,stimPos,stimType,congruent,firstResp,firstRT,postResp,postRT,frameRate,ITI,trigger,winszX,winszY
2,2,3,1,1,2.554,0,1,0,1,-1,-1.00000,-1,-1.00000,0.01669,29,104,2560,1440
2,2,3,1,1,4.322,1,1,1,1,1,0.65111,-1,-1.00000,0.01669,27,114,2560,1440
